172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:36 -0500] "POST http://go.galegroup.com:80/ps/searchAssist HTTP/1.1" 200 850
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:39 -0500] "POST http://go.galegroup.com:80/ps/searchAssist HTTP/1.1" 200 1048
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:40 -0500] "GET http://go.galegroup.com:80/ps/advancedSearch.do?operator%28999%29=And&inputFieldName%28999%29=KE_ST&inputFieldValue%28999%29=&operator%280%29=And&inputFieldName%280%29=TX&inputFieldValue%280%29=washerwoman&operator%281%29=And&inputFieldName%281%29=PU&inputFieldValue%281%29=%22The+Forensic+Examiner%22&operator%282%29=And&inputFieldName%282%29=KE_ST&inputFieldValue%282%29=&dateIndices=DA&dateLimiterValue%28DA%29.dateMode=0&standAloneLimiters=DA&standAloneLimiters=TY&limiterType%28TY%29=OR&limiterFieldValue%28TY%29=&limiterFieldValue%28PU%29=&standAloneLimiters=PU&limiterType%28PU%29=OR&limiterFieldValue%28PS_CAT%29=&limiterType%28PS_CAT%29=OR&method=doSearch&noOfRows=3&fuzzyEnabled=false&searchType=AdvancedSearchForm&userGroupName=nysl_me_nyaomed&prodId=ITOF&nwf=y HTTP/1.1" 200 46137
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:41 -0500] "POST http://go.galegroup.com:80/ps/suggest.do?inPS=true&tabID=T002&userGroupName=nysl_me_nyaomed&prodId=ITOF&method=suggestDidYouMean&searchId=R1&searchType=AdvancedSearchForm&asid= HTTP/1.1" 200 265
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:41 -0500] "POST http://go.galegroup.com:80/ps/suggest.do?inPS=true&tabID=T002&userGroupName=nysl_me_nyaomed&prodId=ITOF&method=suggestAlsoTry&searchId=R1&searchType=AdvancedSearchForm&asid= HTTP/1.1" 200 280
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:41 -0500] "POST http://go.galegroup.com:80/ps/limitExpandSearchResults.do?inPS=true&buildLimiterValues=true&userGroupName=nysl_me_nyaomed&prodId=ITOF&searchType=AdvancedSearchForm&searchId=R1&tabID=T002&browsePagination=25&viewLimit=25&browseIndex=SU&lm= HTTP/1.1" 200 1493
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:41 -0500] "POST http://go.galegroup.com:80/ps/limitExpandSearchResults.do?inPS=true&buildLimiterValues=true&userGroupName=nysl_me_nyaomed&prodId=ITOF&searchType=AdvancedSearchForm&searchId=R1&tabID=T002&browsePagination=25&viewLimit=25&browseIndex=TY&lm= HTTP/1.1" 200 656
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:41 -0500] "GET http://go.galegroup.com:80/ps/json/marklist?prodId=ITOF&userGroupName=nysl_me_nyaomed&asid=&random=1381247092916 HTTP/1.1" 200 231
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:42 -0500] "POST http://go.galegroup.com:80/ps/limitExpandSearchResults.do?inPS=true&buildLimiterValues=true&userGroupName=nysl_me_nyaomed&prodId=ITOF&searchType=AdvancedSearchForm&searchId=R1&tabID=T002&browsePagination=25&viewLimit=25&browseIndex=PU&lm= HTTP/1.1" 200 689
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:42 -0500] "GET http://go.galegroup.com:80/ps/loadKamajiRelatedMedia?userGroupName=nysl_me_nyaomed&prodId=ITOF&searchType=AdvancedSearchForm&searchId=R1&tabID=T002&viewLimit=20&resultListType=RESULT_LIST HTTP/1.1" 200 872
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:38:59 -0500] "POST http://go.galegroup.com:80/ps/searchAssist HTTP/1.1" 200 909
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:39:05 -0500] "POST http://go.galegroup.com:80/ps/searchAssist HTTP/1.1" 200 1035
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:39:05 -0500] "POST http://go.galegroup.com:80/ps/searchAssist HTTP/1.1" 200 1035
172.16.3.146 - 6Uw4UcxZqQ13UID [08/Oct/2013:11:39:06 -0500] "POST http://go.galegroup.com:80/ps/searchAssist HTTP/1.1" 200 1043
